model,alg,rabinpairorder,workers,buchi,ltl,errmsg,time,date,sccs,ustates,utrans,tstates,ttrans,selfloop,claimdead,claimfound,claimsuccess,cumstack,autsize,rabinpairs,ftrans,formula,hoa

Angiogenesis-PT-15_LTLC_2_,ufscc,-1,16,tgba,530,OK,0.830,2017-04-26.15:50:10,0,5628,36602,5736,37072,0,0,9016,5734,5717,1,-1,-1,-1,-1
Angiogenesis-PT-15_LTLC_2_,favoid,seq,16,ltl3hoa,10,OK,0.730,2017-04-26.15:50:11,3463,3482,33647,3530,3579,0,0,1,3530,19,1,2,14733,-1,-1
Angiogenesis-PT-15_LTLC_2_,favoid,seq,16,ltl3dra,10,OK,0.950,2017-04-26.15:50:12,0,7395,41873,7605,42787,0,0,11019,7604,7577,1,1,0,-1,-1
Angiogenesis-PT-15_LTLC_2_,favoid,seq,16,rabinizer3,10,OK,1.130,2017-04-26.15:50:14,0,26267,185417,26399,185996,0,0,53776,26398,26353,2,1,0,-1,-1
Angiogenesis-PT-15_LTLC_2_,favoid,seq,16,tgbarabin,10,OK,1.190,2017-04-26.15:50:16,3,103770,810179,104271,812651,0,5,252321,104266,103743,1,1,0,-1,-1
Angiogenesis-PT-15_LTLC_2_,ufscc,-1,16,tgba,5025,OK,1.230,2017-04-26.15:50:17,7,101583,738162,101892,739492,2,29,225416,101868,100813,1,-1,-1,-1,-1
Angiogenesis-PT-15_LTLC_2_,favoid,seq,16,ltl3hoa,10,OK,0.420,2017-04-26.15:50:18,1418,1435,12790,1482,1500,0,0,1,1482,17,1,2,5562,-1,-1
Angiogenesis-PT-15_LTLC_2_,favoid,seq,16,ltl3dra,10,OK,1.200,2017-04-26.15:50:20,0,22810,149829,22935,150388,0,0,41379,22929,22736,1,1,0,-1,-1
Angiogenesis-PT-15_LTLC_2_,favoid,seq,16,rabinizer3,10,OK,0.930,2017-04-26.15:50:22,0,7802,53910,8064,55096,0,0,15049,8064,8042,2,1,0,-1,-1
Angiogenesis-PT-15_LTLC_2_,favoid,seq,16,tgbarabin,10,OK,1.190,2017-04-26.15:50:23,5,112132,859923,112373,861120,0,9,268210,112373,111783,1,1,0,-1,-1
Angiogenesis-PT-15_LTLC_2_,ufscc,-1,16,tgba,1179,OK,1.140,2017-04-26.15:50:25,0,18216,119028,18388,119815,0,0,33131,18385,18328,1,-1,-1,-1,-1
Angiogenesis-PT-15_LTLC_2_,favoid,seq,16,ltl3hoa,10,OK,1.270,2017-04-26.15:50:27,11220,11226,130236,11324,11351,0,0,1,11324,17,1,2,60736,-1,-1
Angiogenesis-PT-15_LTLC_2_,favoid,seq,16,ltl3dra,10,OK,0.810,2017-04-26.15:50:28,0,5835,38018,5993,38753,0,0,10087,5993,5988,1,1,0,-1,-1
Angiogenesis-PT-15_LTLC_2_,favoid,seq,16,rabinizer3,10,OK,1.050,2017-04-26.15:50:30,0,7313,46416,7553,47562,0,0,10727,7553,7548,2,1,0,-1,-1
Angiogenesis-PT-15_LTLC_2_,favoid,seq,16,tgbarabin,10,OK,1.050,2017-04-26.15:50:31,2,13161,87905,13417,89099,0,2,24968,13404,13353,1,1,0,-1,-1
Angiogenesis-PT-15_LTLC_2_,ufscc,-1,16,tgba,142,OK,0.580,2017-04-26.15:50:32,0,3090,18395,3318,19423,0,0,4327,3318,3317,1,-1,-1,-1,-1
Angiogenesis-PT-15_LTLC_2_,favoid,seq,16,ltl3hoa,10,OK,0.580,2017-04-26.15:50:34,2248,2265,20575,2313,2334,0,0,1,2313,17,1,2,8593,-1,-1
Angiogenesis-PT-15_LTLC_2_,favoid,seq,16,ltl3dra,10,OK,0.710,2017-04-26.15:50:35,0,3387,21535,3684,23000,0,0,5503,3684,3680,1,1,0,-1,-1
Angiogenesis-PT-15_LTLC_2_,favoid,seq,16,rabinizer3,10,OK,1.180,2017-04-26.15:50:36,0,19817,136237,20003,137101,0,0,35588,20003,19979,2,1,0,-1,-1
Angiogenesis-PT-15_LTLC_2_,favoid,seq,16,tgbarabin,10,OK,0.450,2017-04-26.15:50:37,0,1939,11525,2191,12781,0,0,2613,2191,2190,1,1,0,-1,-1
Angiogenesis-PT-15_LTLC_2_,ufscc,-1,16,tgba,105,OK,0.300,2017-04-26.15:50:38,0,888,5167,1030,5824,0,0,1177,1030,1028,1,-1,-1,-1,-1
Angiogenesis-PT-15_LTLC_2_,favoid,seq,16,ltl3hoa,10,OK,1.040,2017-04-26.15:50:39,7230,7247,72379,7300,7324,0,0,1,7300,17,1,2,29065,-1,-1
Angiogenesis-PT-15_LTLC_2_,favoid,seq,16,ltl3dra,10,OK,1.020,2017-04-26.15:50:41,0,11746,76269,11874,76829,0,0,20410,11870,11843,1,1,0,-1,-1
