"","model","alg","workers","buchi","rabinpairorder","time_v","time","ltl","ustates","utrans","tstates","ttrans","selfloop","claimdead","claimfound","claimsuccess","cumstack","rabinpairs","ftrans","autsize"
"7","BridgeAndVehicles-PT-V10P10N10_LTLC_2_","favoid",16,"ltl3hoa","seq",0.00817777777777776,3.06879506268847,-1,519112,1642604,650093.4,1782749.3,23.8,1004466.4,0,650093.4,1425.8,2,144847,1
"16","BridgeAndVehicles-PT-V20P10N10_LTLC_7_","favoid",16,"ltl3hoa","seq",2.49974333333333,46.5046369473046,-1,17433671,64285284,19065305.3,61025077.2,22.2,39579114.9,0,19065305.3,2744,1,3750884,4
"21","BridgeAndVehicles-PT-V20P10N20_LTLC_6_","favoid",16,"ltl3hoa","seq",0.210999999999999,40.9676767709278,-1,9076326,31773082,9591874.5,15107023.9,0,4909311.7,0,9591874.5,1374,1,7514824,1
"25","BridgeAndVehicles-PT-V20P10N50_LTLC_13_","favoid",16,"ltl3hoa","seq",4.04710666666666,89.4276892294186,-1,9080862,31785918,9125969.5,9125969.5,0,0,0,9125969.5,16,1,9080861,3
"30","BridgeAndVehicles-PT-V20P20N10_LTLC_3_","favoid",16,"ltl3hoa","seq",1.74453777777778,36.5848992510557,-1,13465140,46978472,15322514.1,50477139.1,22.5,33326419.5,0,15322514.1,2756.5,2,1291208,1
"34","BridgeAndVehicles-PT-V20P20N10_LTLC_4_","favoid",16,"ltl3hoa","seq",0.667982222222223,26.0647502000067,-1,8390056,32965034,9546555.2,34461230.3,21.6,23237933.5,0,9546555.2,2739.7,1,1657486,4
"39","BridgeAndVehicles-PT-V20P20N10_LTLC_9_","favoid",16,"ltl3hoa","seq",0.441801111111111,20.9335378707921,-1,6732570,23489236,7048813.2,7048813.2,0,0,0,7048813.2,16,1,6732569,1
"44","BridgeAndVehicles-PT-V20P20N20_LTLC_4_","favoid",16,"ltl3hoa","seq",3.23078777777778,3.60635607889947,10,392164.9,1396365.5,453315.5,1555477.4,1.1,1036963,0,453315.5,1544.9,1,42953,1
"48","BridgeAndVehicles-PT-V20P20N20_LTLC_8_","favoid",16,"ltl3hoa","seq",1.79502666666667,46.5088137911586,-1,9783606,34320802,9936735.7,9962582,0,25659.6,0,9936735.7,314.9,1,9771677,2
"53","BridgeAndVehicles-PT-V20P20N50_LTLC_12_","favoid",16,"ltl3hoa","seq",19.5549122222222,188.990515301662,-1,19584684,68691676,21966765.4,69674119.1,41.7,45432616.2,0,21966765.4,2703.5,2,3762339,1
"58","BridgeAndVehicles-PT-V20P20N50_LTLC_13_","favoid",16,"ltl3hoa","seq",2.83060555555556,93.8615115596798,-1,9792342,34345838,9839092.7,9839092.7,0,0,0,9839092.7,16,1,9792341,1
