"","model","alg","workers","buchi","rabinpairorder","time_v","time","ltl","ustates","utrans","tstates","ttrans","selfloop","claimdead","claimfound","claimsuccess","cumstack","rabinpairs","ftrans","autsize"
"8","BridgeAndVehicles-PT-V10P10N10_LTLC_2_","favoid",16,"rabinizer3","seq",0.0234266666666667,1.96089318916957,-1,259556,821302,336146.9,1075798.7,26.4,644410.4,0,336146.9,1433.2,1,0,1
"12","BridgeAndVehicles-PT-V10P10N10_LTLC_8_","favoid",16,"rabinizer3","seq",0.00841,2.60752482087239,-1,519112,1642604,677420.6,2169257.7,48.8,1296611.4,0,677420.6,1437.7,2,8,3
"17","BridgeAndVehicles-PT-V20P10N10_LTLC_7_","favoid",16,"rabinizer3","seq",1.97255666666666,52.2758904404299,-1,19739742,68530798,21517026.9,49390515.1,23.6,26679345.6,0,21517026.9,2746.6,2,9673049,3
"22","BridgeAndVehicles-PT-V20P10N20_LTLC_6_","favoid",16,"rabinizer3","seq",0.698361111111113,41.1773197190811,-1,9076326,31773082,9611263.9,15174183.3,0,4936414.1,0,9611263.9,1376.8,1,7514824,1
"26","BridgeAndVehicles-PT-V20P10N50_LTLC_13_","favoid",16,"rabinizer3","seq",9.18995999999999,89.2382667632448,-1,9080863,31785921,9118482.5,9118482.5,0,0,0,9118482.5,16,2,9080867.9,3
"31","BridgeAndVehicles-PT-V20P20N10_LTLC_3_","favoid",16,"rabinizer3","seq",1.95146777777778,19.5291583322458,-1,6732570,23489236,7683004.2,26882545.4,23.6,18165026,0,7683004.2,2741.9,1,0,2
"35","BridgeAndVehicles-PT-V20P20N10_LTLC_4_","favoid",16,"rabinizer3","seq",1.56866777777778,42.680548723666,-1,13465140,46978472,14554663.9,33452116.1,22.4,18014624.7,0,14554663.9,2745.3,2,6732569,3
"40","BridgeAndVehicles-PT-V20P20N10_LTLC_9_","favoid",16,"rabinizer3","seq",0.449543333333333,22.6299018175869,-1,6732570,23489236,7119621.1,7119621.1,0,0,0,7119621.1,16,1,6732569,2
"45","BridgeAndVehicles-PT-V20P20N20_LTLC_4_","favoid",16,"rabinizer3","seq",0.827417777777778,3.49579145198773,10,323431.2,1144878,368424.5,1254706.6,1,842598.6,0,368424.5,1496.1,1,34828.6,3
"49","BridgeAndVehicles-PT-V20P20N20_LTLC_8_","favoid",16,"rabinizer3","seq",0.77532888888889,46.1205645292425,-1,9783607,34320805,9934367,9934367,0,0,0,9934367,16,2,9783611.9,2
"54","BridgeAndVehicles-PT-V20P20N50_LTLC_12_","favoid",16,"rabinizer3","seq",11.5177288888889,98.6597671982271,-1,9792342,34345838,11054608.5,38871128.8,43.5,26593841,0,11054608.5,2714.9,1,0,1
"59","BridgeAndVehicles-PT-V20P20N50_LTLC_13_","favoid",16,"rabinizer3","seq",13.4458711111111,104.209256130563,-1,9792342,34345838,9835103.7,9835103.7,0,0,0,9835103.7,16,1,9792341,2
"64","BridgeAndVehicles-PT-V20P20N50_LTLC_15_","favoid",16,"rabinizer3","seq",32.2254933333333,99.000213252779,-1,9792342,34345838,11303746.2,39783847.1,43.2,26999116.7,0,11303746.2,2718.4,1,0,1
"69","BridgeAndVehicles-PT-V20P20N50_LTLC_6_","favoid",16,"rabinizer3","seq",64.726271111111,209.865982277011,-1,21887786,74848786,24657914.9,84731472.3,86.6,57325336.6,0,24657914.9,2717.8,2,0,3
"74","BridgeAndVehicles-PT-V50P20N10_LTLC_8_","favoid",16,"rabinizer3","seq",0,999.999,-1,98905203.6,357310680.9,106518580.1,318612104.3,0,204514908.5,0,106518580.1,5456.3,2,29108342.8,3
"79","BridgeAndVehicles-PT-V80P50N20_LTLC_13_","favoid",16,"rabinizer3","seq",0,999.999,-1,23585545.6,89542043.7,30887667,62581654.7,0,26157404.8,0,30887667,5158.9,1,24729297.6,2
"97","CircularTrains-PT-096_LTLF_12_","favoid",16,"rabinizer3","seq",0.0314766666666667,2.35273154658179,10,7613.4,65585.6,7631.2,66171.2,0,0,1,7631.2,7631.2,2,0,3
"101","CircularTrains-PT-192_LTLC_0_","favoid",16,"rabinizer3","seq",0.0563611111111111,7.06142408888852,10,27792.3,322197.9,27808.9,323276.3,0,0,1,27808.9,27808.9,2,0,1
"116","Dekker-PT-020_LTLC_7_","favoid",16,"rabinizer3","seq",1060.01395111111,18.8305739706809,10,3062351.1,309614164.8,3071331.6,310292366.3,0,0,284144342.4,3062654.2,2314930.4,1,0,1
"150","HouseConstruction-PT-005_LTLC_14_","favoid",16,"rabinizer3","seq",0.0365611111111112,5.06175448721038,-1,1187984,7191111,2378377.4,3809015.9,0,1386663.2,0,2378377.4,1020.8,1,1113323,2
"155","HouseConstruction-PT-005_LTLC_6_","favoid",16,"rabinizer3","seq",0.0275833333333333,4.92246525381498,-1,1187984,7191111,2524251.9,3324940.2,0,776967.4,0,2524251.9,1069.3,1,1144123,2
"159","HouseConstruction-PT-500_LTLC_11_","favoid",16,"rabinizer3","seq",0,700,-1,268167448.7,1356115104.9,274677639.7,1390629398.4,1,1109781356.2,0,274677639.7,143875.5,2,1,3
"164","HouseConstruction-PT-500_LTLC_12_","favoid",16,"rabinizer3","seq",0.00595666666666667,1.03428084895369,10,93184.8,341137.3,94185.1,271428.4,1,25.8,0,94185.1,80636.1,1,70745.8,2
"196","IBMB2S565S3960-PT-none_LTLC_0_","favoid",16,"rabinizer3","seq",11.3153388888889,10.0533164439291,10,1975373.4,8807202.5,1997669.6,8900968.5,369.7,6749027.9,119012.3,1994678.1,5133.2,2,0,3
"201","IOTPpurchase-PT-C03M03P03D03_LTLC_11_","favoid",16,"rabinizer3","seq",0.124973333333333,4.15868185550219,-1,354178,1684057,544672.7,2471180.9,0,1565218.2,0,544672.7,1428.8,1,41363,3
"206","IOTPpurchase-PT-C03M03P03D03_LTLC_14_","favoid",16,"rabinizer3","seq",0.0190888888888889,4.02786978337975,-1,354177,1684055,484388.7,697155,0,160551.4,0,484388.7,821.3,1,342093,2
"230","ParamProductionCell-PT-2_LTLC_3_","favoid",16,"rabinizer3","seq",0.0836666666666667,7.52497133228196,-1,349875,1380744,391545,583865.9,0,152207.1,0,391545,1321.6,1,313964,2
"240","ParamProductionCell-PT-4_LTLC_14_","favoid",16,"rabinizer3","seq",0.201516666666666,13.478262253093,-1,2409744,9827681,2911649.2,9321230.5,0,5898842.6,0,2911649.2,1719.5,1,886027,3
