"","model","alg","workers","buchi","rabinpairorder","time_v","time","ltl","ustates","utrans","tstates","ttrans","selfloop","claimdead","claimfound","claimsuccess","cumstack","rabinpairs","ftrans","autsize"
"9","BridgeAndVehicles-PT-V10P10N10_LTLC_2_","favoid",16,"tgbarabin","seq",0.01749,1.99914561528238,-1,259556,821302,351880.1,1126008.4,26.3,662140.2,0,351880.1,1433.1,1,0,1
"13","BridgeAndVehicles-PT-V10P10N10_LTLC_8_","favoid",16,"tgbarabin","seq",0.0170455555555556,2.82429575025963,-1,778663,2973829,956750.4,3815057.5,50.4,2502158.4,0,956750.4,1443,1,0,4
"18","BridgeAndVehicles-PT-V20P10N10_LTLC_7_","favoid",16,"tgbarabin","seq",1.02372111111111,43.4105394908215,-1,17865975,62551147,19477408.3,71130101.2,43.4,48535235.9,0,19477408.3,2748,1,0,5
"23","BridgeAndVehicles-PT-V20P10N20_LTLC_6_","favoid",16,"tgbarabin","seq",2.05447666666667,49.34249598862,-1,11376934,45543515,12838363.1,51732920.5,42.3,36871389.6,0,12838363.1,2713.5,1,0,2
"27","BridgeAndVehicles-PT-V20P10N50_LTLC_13_","favoid",16,"tgbarabin","seq",25.6085377777778,94.881819909588,-1,9080862,40924027,10493718.7,47173355.7,87.2,34652713.7,0,10493718.7,2718.7,1,0,4
"32","BridgeAndVehicles-PT-V20P20N10_LTLC_3_","favoid",16,"tgbarabin","seq",0.485955555555555,18.1979007703272,-1,6732570,23489236,7455875.4,26071784.8,22.3,17835220.8,0,7455875.4,2743.5,1,0,1
"36","BridgeAndVehicles-PT-V20P20N10_LTLC_4_","favoid",16,"tgbarabin","seq",0.814448888888889,21.7990065564629,-1,6732570,23489236,7679059,26877744.7,22.5,18186539.8,0,7679059,2742.5,1,0,3
"41","BridgeAndVehicles-PT-V20P20N10_LTLC_9_","favoid",16,"tgbarabin","seq",0.451138888888889,19.7150021394304,-1,6732570,23489236,7642629.2,26754296.8,24.4,18150879.2,0,7642629.2,2746.3,1,0,2
"46","BridgeAndVehicles-PT-V20P20N20_LTLC_4_","favoid",16,"tgbarabin","seq",0.0145211111111111,2.19605570745891,10,82265.7,285078.4,98818.9,342623.4,1.6,219518.4,0,98818.9,2252.8,1,0,2
"50","BridgeAndVehicles-PT-V20P20N20_LTLC_8_","favoid",16,"tgbarabin","seq",6.45857333333333,47.3105615716518,-1,9810868,68690386,10981965.8,77101153,83.8,62859983,0,10981965.8,2708.7,1,0,3
"55","BridgeAndVehicles-PT-V20P20N50_LTLC_12_","favoid",16,"tgbarabin","seq",17.5350177777778,97.9882123097272,-1,9792342,34345838,11107839.1,39068337.1,44.4,26685878.2,0,11107839.1,2712.9,1,0,1
"60","BridgeAndVehicles-PT-V20P20N50_LTLC_13_","favoid",16,"tgbarabin","seq",33.0932622222222,109.098920071387,-1,9792342,34345838,11071510.7,38950515.6,43.8,26721062.5,0,11071510.7,2713.4,1,0,2
"65","BridgeAndVehicles-PT-V20P20N50_LTLC_15_","favoid",16,"tgbarabin","seq",25.3055511111111,98.5176419012078,-1,9792342,34345838,11114312.1,39060424.6,43.2,26634196.8,0,11114312.1,2719.9,1,0,1
"70","BridgeAndVehicles-PT-V20P20N50_LTLC_6_","favoid",16,"tgbarabin","seq",9.21364888888889,96.5033791088472,-1,9792342,34345838,10900299.1,38305589.8,42.6,26347330.1,0,10900299.1,2713.6,1,0,1
"75","BridgeAndVehicles-PT-V50P20N10_LTLC_8_","favoid",16,"tgbarabin","seq",11.8287566666667,6.21547598944801,10,472735.4,1588684.8,627953.6,2125689.6,1.1,1348922.5,0,627953.6,6298.9,1,0,5
"80","BridgeAndVehicles-PT-V80P50N20_LTLC_13_","favoid",16,"tgbarabin","seq",0.00696555555555555,1.13632213870484,10,8996.4,20862.4,12001.5,28214.5,1.2,4211.9,0,12001.5,6131.6,1,0,2
"84","CircadianClock-PT-100000_LTLC_12_","favoid",16,"tgbarabin","seq",27.3095111111111,5.13360570970042,10,8345524.7,87769219,8346618.1,87775522.1,0,0.3,21485624,8346618.1,8341513,1,0,3
"88","CircadianClock-PT-100000_LTLC_14_","favoid",16,"tgbarabin","seq",0.312488888888889,1.81488968163106,10,2383877.7,14302545.9,2384642.9,14305844,0,0.3,2894994.5,2384642.9,2381312,1,0,3
"93","CircadianClock-PT-100000_LTLC_2_","favoid",16,"tgbarabin","seq",0.0665822222222223,1.55774529403113,10,1958774,11870153.9,1959591.1,11873589.4,0,0.2,2219103.6,1959590.8,1959473.7,1,0,2
"98","CircularTrains-PT-096_LTLF_12_","favoid",16,"tgbarabin","seq",0.0292455555555555,2.12657218065384,10,7129.5,58132.3,7151.5,59723.1,1,0,0,7151.5,7140.9,1,0,3
"102","CircularTrains-PT-192_LTLC_0_","favoid",16,"tgbarabin","seq",0.118093333333333,7.1182319796786,10,32969.9,350932.1,32986.7,352023.3,0,0,1,32986.7,32986.7,1,0,2
"117","Dekker-PT-020_LTLC_7_","favoid",16,"tgbarabin","seq",1082.56904,15.8435631198184,10,2985497.1,303878065.8,2997265,305151848.6,0,0,291306647.7,2985899.5,2299447.8,1,0,1
"136","ERK-PT-100000_LTLC_3_","favoid",16,"tgbarabin","seq",0.00294333333333333,1.07977737391737,10,1488667.7,6607608.1,1489927,6612028.7,0,0.4,1416964.9,1489927,1489925.9,1,0,2
"151","HouseConstruction-PT-005_LTLC_14_","favoid",16,"tgbarabin","seq",0.00358777777777778,1.75808359714343,-1,1752399,11031623,1780799.6,11248465.7,1,9335090.1,0,1780799.6,1351.6,1,0,2
"156","HouseConstruction-PT-005_LTLC_6_","favoid",16,"tgbarabin","seq",0.00489333333333333,1.66468816970534,-1,1594961,9520057,1626690.8,9746953.9,1.1,7991866.9,0,1626690.8,1339.9,1,0,2
"197","IBMB2S565S3960-PT-none_LTLC_0_","favoid",16,"tgbarabin","seq",93.4322722222222,10.7012479283198,10,2858288.7,13489957.8,2887081.9,13612702.4,407.3,10496572.3,185562.9,2882822.6,5483.2,1,0,1
"202","IOTPpurchase-PT-C03M03P03D03_LTLC_11_","favoid",16,"tgbarabin","seq",0.0352844444444445,4.45431360434151,-1,707503,4850538,811460.1,5364786.9,0,2996701,1334883.8,803783.7,211694.7,1,0,2
"207","IOTPpurchase-PT-C03M03P03D03_LTLC_14_","favoid",16,"tgbarabin","seq",0.500617777777778,3.68591179108971,-1,419205,2001314,427939.1,2038264.3,0,254215.6,1334797.9,422329.4,211569.6,1,0,2
"231","ParamProductionCell-PT-2_LTLC_3_","favoid",16,"tgbarabin","seq",0.0338711111111111,6.34159747007989,-1,388386,1660380,425795.2,1809100.4,0,252150.8,1062136.7,414774.8,43653.3,1,0,2
"241","ParamProductionCell-PT-4_LTLC_14_","favoid",16,"tgbarabin","seq",0.222143333333334,16.444942146491,-1,4369190,24135322,4521769.2,24792568.8,0,12600582.7,7439286.2,4507937.3,603272.5,1,0,2
"246","ParamProductionCell-PT-5_LTLC_6_","favoid",16,"tgbarabin","seq",0.41661,9.66045347038459,-1,1725853,7029084,1773890.6,7229074.4,0,218883.6,5134620.6,1752245.4,374623.7,1,0,2
"251","PermAdmissibility-PT-01_LTLC_1_","favoid",16,"tgbarabin","seq",0.00615111111111111,2.13072091420907,-1,52537,73288,55446.4,79112.9,19128.3,3173.4,0,55446.4,272,1,0,1
"255","PermAdmissibility-PT-01_LTLC_12_","favoid",16,"tgbarabin","seq",0.00573444444444444,3.27220855790289,-1,105073,146592,109464.9,159206.2,19134.6,26413.8,0,109464.9,288,1,0,4
"260","PermAdmissibility-PT-01_LTLC_5_","favoid",16,"tgbarabin","seq",0.0101511111111111,2.12585362341343,-1,52537,73288,55545.1,79308.5,19150.3,3202,0,55545.1,272,1,0,1
"265","PhilosophersDyn-PT-10_LTLC_2_","favoid",16,"tgbarabin","seq",0.108205555555556,9.07971085972719,-1,386491,1484275,388999.1,1515478.7,14044.3,1084748.2,6796.8,388715.3,290.3,1,0,2
"269","QuasiCertifProtocol-PT-06_LTLC_11_","favoid",16,"tgbarabin","seq",1.01008888888889,7.57596794879472,10,396916,2079073.6,400688.1,2131647,1377.5,1688911.3,0,400688.1,601.4,1,0,5
"274","QuasiCertifProtocol-PT-06_LTLC_7_","favoid",16,"tgbarabin","seq",0.0791166666666667,11.1518337999722,-1,2288407,16105778,2302979.4,16292629.1,4247.8,13844869.9,0,2302979.4,1007.9,1,0,2
"279","RwMutex-PT-r0020w0010_LTLC_3_","favoid",16,"tgbarabin","seq",0.0239122222222222,4.55065664944733,-1,1048586,20971540,1049564.6,20991129.8,0,0,19923626.6,1048728.4,1030692,1,0,1
"298","S_CircadianClock-PT-100000_LTLC_12_","favoid",16,"tgbarabin","seq",0,700,8.9,15435598,170925634.5,15436697.4,170933664.6,0,0.6,48777450.5,15436697.2,15436694.9,1,0,3
"302","S_CircadianClock-PT-100000_LTLC_14_","favoid",16,"tgbarabin","seq",0.0630766666666666,1.70593395030294,10,2091017.7,12505351.2,2092271.6,12511000.3,0,0.6,2323868.3,2092271.6,2089292.5,1,0,3
"307","S_CircadianClock-PT-100000_LTLC_2_","favoid",16,"tgbarabin","seq",0.0104888888888889,1.50687688131371,10,1869027.2,11092570.7,1869838.7,11096166.1,0,0.4,2120767.8,1869838,1869829.6,1,0,2
"311","S_CircularTrains-PT-192_LTLC_0_","favoid",16,"tgbarabin","seq",0.11516,7.03864721788191,10,25854.4,312523.9,25870.8,313589.5,0,0,1,25870.8,25870.8,1,0,2
"316","S_Dekker-PT-020_LTLC_7_","favoid",16,"tgbarabin","seq",645.752543333333,11.604369464561,10,2533280,245450117.5,2533617.2,245494299.4,0,0,212313131.3,2533463.4,2034938.6,1,0,1
"326","S_ERK-PT-100000_LTLC_3_","favoid",16,"tgbarabin","seq",0.00373333333333333,1.03846578296086,10,1453115.5,6490142.5,1454232,6494010.4,0,0.5,1361921.7,1454231,1454193.9,1,0,2
"341","SharedMemory-PT-000010_LTLC_1_","favoid",16,"tgbarabin","seq",0.0259333333333333,7.50841248476385,-1,1830519,19486170,1833643.4,19534451.6,0,0,17662349.7,1832509.2,582706.5,1,0,1
"346","SharedMemory-PT-000010_LTLC_15_","favoid",16,"tgbarabin","seq",0.0721511111111111,8.11795153462852,-1,1830519,19486170,1833337.6,19528340.9,0,0,17661442.5,1832362.4,573990.2,1,0,2
"351","SharedMemory-PT-000010_LTLC_3_","favoid",16,"tgbarabin","seq",0.0253733333333333,7.35644219864907,-1,1830519,19486170,1833142.6,19530738.2,0,0,17661063.4,1832371.2,577899.8,1,0,1
"356","S_HouseConstruction-PT-005_LTLC_14_","favoid",16,"tgbarabin","seq",0.0138844444444444,1.82865927770971,-1,1752399,11031623,1777563.7,11219134.3,1,9324294.6,0,1777563.7,1347.8,1,0,2
"361","S_HouseConstruction-PT-005_LTLC_6_","favoid",16,"tgbarabin","seq",0.0106,1.69720726542117,-1,1594961,9520057,1628261.5,9747500.6,1,8002169.1,0,1628261.5,1334.2,1,0,2
"402","S_IBMB2S565S3960-PT-none_LTLC_0_","favoid",16,"tgbarabin","seq",101.221321111111,10.4807566374821,10,2816403.4,13381096,2853336.8,13554296.6,395.1,10428685,216098,2846438.7,6492.4,1,0,1
"431","S_ParamProductionCell-PT-2_LTLC_3_","favoid",16,"tgbarabin","seq",0.0503388888888889,6.44150012243514,-1,388386,1660380,425183.7,1807635.1,0,251228.7,1062281,413870.7,43652.6,1,0,2
"436","S_ParamProductionCell-PT-4_LTLC_14_","favoid",16,"tgbarabin","seq",0.190445555555556,16.7119989851541,-1,4369190,24135322,4529936.9,24822143.5,0,12614768.6,7442487.2,4516207.9,605962.2,1,0,2
"441","S_ParamProductionCell-PT-5_LTLC_6_","favoid",16,"tgbarabin","seq",0.282915555555555,9.69316121792265,-1,1725853,7029084,1772543.3,7223785.2,0,219416.1,5133041.9,1751485.6,384351.7,1,0,2
"446","S_PermAdmissibility-PT-01_LTLC_1_","favoid",16,"tgbarabin","seq",0.0180988888888889,2.14732480297224,-1,52537,73288,55641.7,79534.4,19153,3238.8,0,55641.7,272,1,0,1
"450","S_PermAdmissibility-PT-01_LTLC_12_","favoid",16,"tgbarabin","seq",0.05936,3.45629339125604,-1,105073,146592,108996.8,157913.2,19084.6,26093.3,0,108996.8,288,1,0,4
"455","S_PermAdmissibility-PT-01_LTLC_5_","favoid",16,"tgbarabin","seq",0.0118844444444444,2.1195284183206,-1,52537,73288,55418.6,79052.1,19138.1,3176.6,0,55418.6,272,1,0,1
"460","S_PhilosophersDyn-PT-10_LTLC_2_","favoid",16,"tgbarabin","seq",0.121987777777778,9.16307943319997,-1,386491,1484275,388956.5,1515144.9,14044.7,1084997.4,6796.9,388687.5,291.7,1,0,2
"465","S_Philosophers-PT-000050_LTLC_0_","favoid",16,"tgbarabin","seq",0.371893333333333,6.37922386775073,10,88862.2,1569332.4,88878.4,1570966,2,0,150694.3,88878.4,87004.7,1,0,2
"469","S_QuasiCertifProtocol-PT-06_LTLC_11_","favoid",16,"tgbarabin","seq",0.0698622222222222,6.80735743326091,10,398269.5,2086611,402574.3,2145132,1408,1696371.8,0,402574.3,600.7,1,0,5
"474","S_QuasiCertifProtocol-PT-06_LTLC_7_","favoid",16,"tgbarabin","seq",0.219943333333334,11.0198406891994,-1,2288407,16105778,2302631.4,16286141.7,4250.7,13844146.4,0,2302631.4,1008,1,0,2
"480","S_RwMutex-PT-r0020w0010_LTLC_3_","favoid",16,"tgbarabin","seq",0.00625444444444445,4.57038811782756,-1,1048586,20971540,1048729.9,20974405.4,0,0,19923559.9,1048729.9,1030340.5,1,0,1
"485","S_SharedMemory-PT-000010_LTLC_1_","favoid",16,"tgbarabin","seq",0.0715377777777777,7.54178833794549,-1,1830519,19486170,1833369.6,19532565.9,0,0,17661652.1,1832526.3,565375.4,1,0,1
"490","S_SharedMemory-PT-000010_LTLC_15_","favoid",16,"tgbarabin","seq",0.234511111111111,8.1874979468761,-1,1830519,19486170,1833893.9,19541578.4,0,0,17661875.1,1832374.8,592464.2,1,0,2
"495","S_SharedMemory-PT-000010_LTLC_3_","favoid",16,"tgbarabin","seq",0.125334444444445,7.5054434511977,-1,1830519,19486170,1833665.5,19538083,0,0,17661756.8,1832374.6,575423.4,1,0,1
"505","S_TokenRing-PT-010_LTLC_1_","favoid",16,"tgbarabin","seq",0.00969333333333334,2.29407841048858,-1,58905,294050,62157,307201.4,0,237358.5,10.8,62154.1,1930.3,1,0,1
"510","S_TokenRing-PT-010_LTLC_10_","favoid",16,"tgbarabin","seq",0.0245833333333333,2.31036813714521,-1,58905,294050,62234.5,307342.7,0,237293.6,11,62231.1,2016.1,1,0,1
"515","S_TokenRing-PT-010_LTLC_11_","favoid",16,"tgbarabin","seq",0.00740111111111109,2.22150449870783,-1,58905,294050,62258.2,307811.3,0,237526.2,11.4,62253.5,1983.4,1,0,1
"520","S_TokenRing-PT-010_LTLC_4_","favoid",16,"tgbarabin","seq",0.00613444444444444,2.20574763931065,-1,58905,294050,62161.2,308314.4,0,237555.5,8.2,62158.4,1782,1,0,1
"530","SwimmingPool-PT-04_LTLC_7_","favoid",16,"tgbarabin","seq",31.9158177777778,120.000783204001,-1,196009988,1230977592,200730079.7,1261701381.8,0,155920894.3,885920530.8,197356559,160408216.9,1,0,2
"539","SwimmingPool-PT-10_LTLC_12_","favoid",16,"tgbarabin","seq",0.0862044444444444,1.95458561249194,10,1372053.2,2727539.4,3816126.5,9233155.1,0,4962138,1.2,3816126.5,6694.7,1,0,2
"544","TokenRing-PT-010_LTLC_1_","favoid",16,"tgbarabin","seq",0.01165,2.28274820087588,-1,58905,294050,61893.8,306599.3,0,237184.4,8.4,61890.5,1785.6,1,0,1
"549","TokenRing-PT-010_LTLC_10_","favoid",16,"tgbarabin","seq",0.00656555555555554,2.22969747521928,-1,58905,294050,62330.7,308326.7,0,237571.8,9.4,62327.7,1986.7,1,0,1
"554","TokenRing-PT-010_LTLC_11_","favoid",16,"tgbarabin","seq",0.0111433333333333,2.30682681735456,-1,58905,294050,62101,306912.1,0,237313.5,8.9,62096.5,1955.3,1,0,1
"559","TokenRing-PT-010_LTLC_4_","favoid",16,"tgbarabin","seq",0.0200622222222222,2.2781749424433,-1,58905,294050,62167.2,307458.4,0,237355.5,7.8,62166.2,1922.7,1,0,1
