"","model","alg","workers","buchi","rabinpairorder","time_v","time","ltl","ustates","utrans","tstates","ttrans","selfloop","claimdead","claimfound","claimsuccess","cumstack","rabinpairs","ftrans","autsize"
"10","Angiogenesis-PT-50_LTLC_9_","ufscc",16,"tgba","-1",0.159334444444444,1.063,4433,72248.8,534065.7,72796.4,536727.2,10.1,20.2,147433.7,72795.8,72573.6,-1,-1,1
"14","BridgeAndVehicles-PT-V10P10N10_LTLC_2_","ufscc",16,"tgba","-1",0.00613777777777777,2.016,-1,259556,821302,344568.5,1101692.5,29.1,652940,0,344568.5,1434.8,-1,-1,1
"20","BridgeAndVehicles-PT-V10P10N10_LTLC_8_","ufscc",16,"tgba","-1",0.00959555555555555,2.988,-1,778663,2973829,974926,3887921.1,51.7,2525597.1,0,974926,1449.2,-1,-1,4
"27","BridgeAndVehicles-PT-V20P10N10_LTLC_7_","ufscc",16,"tgba","-1",1.85926222222222,44.992,-1,17865975,62551147,19260816.8,69963523,43.5,48091613.9,0,19260816.8,2753.1,-1,-1,5
"34","BridgeAndVehicles-PT-V20P10N20_LTLC_6_","ufscc",16,"tgba","-1",2.26978777777778,49.571,-1,11376934,45543515,12624623.8,50745929.2,42.1,36445621.1,0,12624623.8,2710,-1,-1,2
"39","BridgeAndVehicles-PT-V20P10N50_LTLC_13_","ufscc",16,"tgba","-1",27.7018055555555,100.295,-1,9080862,40924027,10590975.2,47531727.7,88.4,34777969.8,0,10590975.2,2709.6,-1,-1,4
"43","BridgeAndVehicles-PT-V20P20N10_LTLC_3_","ufscc",16,"tgba","-1",1.06707111111111,19.856,-1,6732570,23489236,7670911.4,26836300.5,23.2,18141529.7,0,7670911.4,2739.8,-1,-1,1
"48","BridgeAndVehicles-PT-V20P20N10_LTLC_4_","ufscc",16,"tgba","-1",1.06804888888889,20.906,-1,6732570,23489236,7642478.2,26744858.5,23.6,18105441.6,0,7642478.2,2735,-1,-1,3
"56","BridgeAndVehicles-PT-V20P20N10_LTLC_9_","ufscc",16,"tgba","-1",0.597404444444444,19.884,-1,6732570,23489236,7593818.5,26565203.7,22.3,18074464.5,0,7593818.5,2752.5,-1,-1,2
"64","BridgeAndVehicles-PT-V20P20N20_LTLC_4_","ufscc",16,"tgba","-1",0.0400266666666667,2.394,166,82749.8,286591.3,103672.1,359848.6,1.3,228258.8,0,103672.1,2192.5,-1,-1,2
"70","BridgeAndVehicles-PT-V20P20N20_LTLC_8_","ufscc",16,"tgba","-1",5.04841777777778,46.972,-1,9810868,68690386,11103397.7,77997699,86.4,63259705.5,0,11103397.7,2708.2,-1,-1,3
"74","BridgeAndVehicles-PT-V20P20N50_LTLC_12_","ufscc",16,"tgba","-1",18.5696177777778,104.062,-1,9792342,34345838,11181082.6,39345051.6,45.1,26757190.9,0,11181082.6,2712.8,-1,-1,1
