"","model","alg","workers","buchi","rabinpairorder","time_v","time","ltl","ustates","utrans","tstates","ttrans","selfloop","claimdead","claimfound","claimsuccess","cumstack","rabinpairs","ftrans","autsize"
"9","Angiogenesis-PT-50_LTLC_9_","favoid",16,"tgbarabin","seq",0.312356666666667,1.377,10,315229.2,2445040.7,315717,2447335.4,3.8,533,737818.3,315711.1,313568.3,1,0,1
"13","BridgeAndVehicles-PT-V10P10N10_LTLC_2_","favoid",16,"tgbarabin","seq",0.0385344444444445,2.077,-1,259556,821302,361277.9,1157900.3,26.6,675629.2,0,361277.9,1430.3,1,0,1
"19","BridgeAndVehicles-PT-V10P10N10_LTLC_8_","favoid",16,"tgbarabin","seq",0.0128233333333333,2.953,-1,778663,2973829,966773.6,3859764.6,51.9,2512887,0,966773.6,1444.8,1,0,4
"26","BridgeAndVehicles-PT-V20P10N10_LTLC_7_","favoid",16,"tgbarabin","seq",4.02995666666667,47.867,-1,17865975,62551147,19536105.4,71488705.9,43.1,48801623.5,0,19536105.4,2759.8,1,0,5
"33","BridgeAndVehicles-PT-V20P10N20_LTLC_6_","favoid",16,"tgbarabin","seq",3.00031555555555,49.504,-1,11376934,45543515,12640920,50832243.3,42.9,36505678.5,0,12640920,2709.2,1,0,2
"38","BridgeAndVehicles-PT-V20P10N50_LTLC_13_","favoid",16,"tgbarabin","seq",50.9602488888889,98.914,-1,9080862,40924027,10368537,46451697.4,87.8,34319248.6,0,10368537,2720.6,1,0,4
"42","BridgeAndVehicles-PT-V20P20N10_LTLC_3_","favoid",16,"tgbarabin","seq",1.55645444444444,20.409,-1,6732570,23489236,7555831.6,26439765.4,22.4,18033998.1,0,7555831.6,2749.2,1,0,1
"47","BridgeAndVehicles-PT-V20P20N10_LTLC_4_","favoid",16,"tgbarabin","seq",0.568173333333333,24.052,-1,6732570,23489236,7551997,26407765.8,22,17995754.9,0,7551997,2743.2,1,0,3
"55","BridgeAndVehicles-PT-V20P20N10_LTLC_9_","favoid",16,"tgbarabin","seq",1.17133888888889,22.415,-1,6732570,23489236,7714761.2,26995840.6,21,18233774,0,7714761.2,2734.6,1,0,2
"63","BridgeAndVehicles-PT-V20P20N20_LTLC_4_","favoid",16,"tgbarabin","seq",0.0220844444444445,2.398,10,82835.2,286289.6,102797.2,356642.8,1.2,225817.4,0,102797.2,2079.4,1,0,2
"69","BridgeAndVehicles-PT-V20P20N20_LTLC_8_","favoid",16,"tgbarabin","seq",5.71163222222222,49.871,-1,9810868,68690386,11114920.4,78049007.8,84.8,63307674.3,0,11114920.4,2712,1,0,3
"73","BridgeAndVehicles-PT-V20P20N50_LTLC_12_","favoid",16,"tgbarabin","seq",9.20083222222223,103.701,-1,9792342,34345838,11198746.7,39385622.1,43.3,26857437.8,0,11198746.7,2726.9,1,0,1
"81","BridgeAndVehicles-PT-V20P20N50_LTLC_13_","favoid",16,"tgbarabin","seq",21.9240222222222,118.97,-1,9792342,34345838,11459651.7,40332757.5,43.4,27251735.2,0,11459651.7,2724.6,1,0,2
"85","BridgeAndVehicles-PT-V20P20N50_LTLC_15_","favoid",16,"tgbarabin","seq",16.48261,103.359,-1,9792342,34345838,11140866.1,39150351.4,43.4,26711814.2,0,11140866.1,2717.2,1,0,1
"90","BridgeAndVehicles-PT-V20P20N50_LTLC_6_","favoid",16,"tgbarabin","seq",5.84911555555555,104.174,-1,9792342,34345838,11142226.8,39205032.9,43.9,26802686.6,0,11142226.8,2712.5,1,0,1
"97","BridgeAndVehicles-PT-V50P20N10_LTLC_8_","favoid",16,"tgbarabin","seq",10.5220444444444,9.75,10,723067.5,2423337.2,998007.5,3427354.4,1,2139678.7,0,998007.5,6261.3,1,0,5
"105","BridgeAndVehicles-PT-V80P50N20_LTLC_13_","favoid",16,"tgbarabin","seq",0.0137344444444444,1.137,10,9351.8,21106.5,12877.6,29489.3,1.2,4641.7,0,12877.6,6254.8,1,0,2
"111","CircadianClock-PT-100000_LTLC_12_","favoid",16,"tgbarabin","seq",101.686071111111,9.166,10,12239403.7,134048429.1,12240508.5,134054617.5,0,0.2,36626148.3,12240507.6,12219962.6,1,0,3
"117","CircadianClock-PT-100000_LTLC_14_","favoid",16,"tgbarabin","seq",0.0506044444444444,1.744,10,2036340.2,12473489.9,2037364.8,12477780.7,0,0.5,2294692.9,2037364.8,2037363.4,1,0,3
"124","CircadianClock-PT-100000_LTLC_2_","favoid",16,"tgbarabin","seq",0.0765433333333333,1.661,10,2043455.3,12174162.1,2048089.7,12204381.8,0,0.6,2243587.9,2048089.2,2047183.8,1,0,2
"131","CircularTrains-PT-096_LTLF_12_","favoid",16,"tgbarabin","seq",0.0346622222222222,2.208,10,7196.7,57345.3,7222,58943.3,1,0.1,0,7222,7211.1,1,0,3
"137","CircularTrains-PT-192_LTLC_0_","favoid",16,"tgbarabin","seq",0.0391822222222222,7.156,10,35143.8,355515.3,35161.1,356638.8,0,0,1,35161.1,35161.1,1,0,2
"154","Dekker-PT-020_LTLC_7_","favoid",16,"tgbarabin","seq",1489.94695666667,44.393,10,4294814.9,441833980.8,4302464.5,442699598,0,0,409746859.3,4295251.8,3357086.5,1,0,1
"181","ERK-PT-100000_LTLC_3_","favoid",16,"tgbarabin","seq",0.00357888888888888,1.103,10,1483275.9,6637820,1484397.6,6641737.3,0,0.3,1449404.2,1484397.4,1484323.9,1,0,2
"201","HouseConstruction-PT-005_LTLC_14_","favoid",16,"tgbarabin","seq",0.0151511111111111,1.862,-1,1752399,11031623,1776229.8,11209278.9,1.1,9335308.9,0,1776229.8,1348.7,1,0,2
"209","HouseConstruction-PT-005_LTLC_6_","favoid",16,"tgbarabin","seq",0.00965444444444444,1.711,-1,1594961,9520057,1626334.7,9747878.4,1,7990167.9,0,1626334.7,1344.7,1,0,2
"223","HouseConstruction-PT-500_LTLC_12_","favoid",16,"tgbarabin","seq",0.00740555555555555,1.015,10,113398.6,329300.1,114306.1,331404.8,1,3.8,0,114306.1,96888.9,1,0,2
"262","IBMB2S565S3960-PT-none_LTLC_0_","favoid",16,"tgbarabin","seq",2.86061,9.649,10,1530917.1,6594221.5,1546744.8,6658884.5,372.9,5000363.6,80740.3,1544969.6,6305.3,1,0,1
"270","IOTPpurchase-PT-C03M03P03D03_LTLC_11_","favoid",16,"tgbarabin","seq",0.0231122222222222,4.497,-1,707503,4850538,812942.7,5378442,0,2992264.6,1335350.9,801211.6,215427.6,1,0,2
"278","IOTPpurchase-PT-C03M03P03D03_LTLC_14_","favoid",16,"tgbarabin","seq",0.254161111111111,3.645,-1,419205,2001314,429582.3,2046842.7,0,255666.7,1334721.2,423165.7,209897.2,1,0,2
"309","ParamProductionCell-PT-2_LTLC_3_","favoid",16,"tgbarabin","seq",0.0484,6.61,-1,388386,1660380,427262.7,1819536.7,0,252177.5,1065184.9,415753.2,41127.2,1,0,2
"323","ParamProductionCell-PT-4_LTLC_14_","favoid",16,"tgbarabin","seq",0.101854444444444,17.191,-1,4369190,24135322,4513293.9,24764330.3,0,12573766.8,7444078.6,4497880.1,598939.2,1,0,2
"331","ParamProductionCell-PT-5_LTLC_6_","favoid",16,"tgbarabin","seq",0.0605822222222223,9.754,-1,1725853,7029084,1778060.2,7237433.5,0,221182.5,5133941.6,1752956,374931.8,1,0,2
"335","PermAdmissibility-PT-01_LTLC_1_","favoid",16,"tgbarabin","seq",0.0356844444444444,2.188,-1,52537,73288,55736.6,79690.2,19177.2,3289.2,0,55736.6,272,1,0,1
